# Oscilloscope Data

# Seconds	force_sensor_R.filtered_adc
4.529	33727
4.539	33727
4.549	33725
4.559	33725
4.569	33726
4.588	33726
4.591	33727
4.599	33725
4.609	33726
4.619	33725
4.629	33724
4.639	33724
4.649	33727
4.659	33723
4.669	33725
4.679	33726
4.689	33725
4.699	33724
4.709	33726
4.719	33723
4.729	33726
4.739	33725
4.749	33727
4.759	33722
4.769	33725
4.779	33725
4.789	33726
4.799	33724
4.809	33726
4.819	33725
4.829	33726
4.839	33728
4.849	33724
4.859	33726
4.869	33728
4.879	33727
4.889	33725
4.899	33725
4.909	33726
4.919	33726
4.929	33725
4.939	33724
4.949	33726
4.959	33726
4.969	33723
4.979	33726
4.989	33724
4.999	33723
5.009	33726
5.019	33727
5.029	33726
5.039	33726
5.049	33727
5.059	33725
5.069	33726
5.079	33721
5.089	33724
5.099	33723
5.109	33722
5.119	33724
5.129	33726
5.139	33723
5.149	33723
5.159	33725
5.169	33725
5.179	33726
5.189	33726
5.199	33726
5.209	33725
5.219	33724
5.229	33725
5.239	33723
5.249	33723
5.259	33722
5.269	33723
5.279	33725
5.289	33727
5.299	33724
5.309	33726
5.319	33724
5.329	33723
5.339	33725
5.349	33724
5.359	33727
5.369	33726
5.379	33724
5.389	33724
5.399	33725
5.409	33725
5.419	33726
5.429	33724
5.439	33724
5.449	33726
5.459	33725
5.469	33724
5.479	33727
5.489	33725
5.499	33725
5.509	33724
5.519	33726
5.529	33724
5.539	33724
5.549	33725
5.559	33724
5.569	33721
5.579	33726
5.589	33724
5.599	33723
5.609	33725
5.619	33726
5.629	33724
5.639	33725
5.649	33725
5.659	33725
5.669	33723
5.679	33726
5.689	33721
5.699	33724
5.709	33726
5.719	33727
5.729	33725
5.739	33727
5.749	33721
5.759	33723
5.769	33721
5.779	33722
5.789	33726
5.799	33724
5.809	33724
5.819	33728
5.829	33726
5.839	33721
5.849	33724
5.859	33724
5.869	33724
5.879	33724
5.889	33726
5.899	33724
5.909	33725
5.919	33725
5.929	33723
5.939	33727
5.949	33726
5.959	33725
5.969	33724
5.979	33725
5.989	33723
5.999	33726
6.009	33726
6.019	33727
6.029	33726
6.039	33728
6.049	33725
6.059	33727
6.069	33725
6.079	33724
6.089	33722
6.099	33726
6.109	33726
6.119	33722
6.129	33725
6.139	33728
6.149	33725
6.159	33728
6.169	33727
6.179	33725
6.189	33725
6.199	33723
6.209	33725
6.219	33726
6.229	33724
6.239	33728
6.249	33726
6.259	33727
6.269	33724
6.279	33727
6.289	33725
6.299	33722
6.309	33726
6.319	33724
6.329	33724
6.339	33728
6.349	33727
6.359	33726
6.369	33724
6.379	33724
6.389	33724
6.399	33725
6.409	33724
6.419	33723
6.429	33724
6.439	33727
6.449	33727
6.459	33727
6.469	33725
6.479	33724
6.489	33723
6.499	33724
6.509	33725
6.519	33726
6.529	33724
6.539	33725
6.549	33724
6.559	33724
6.569	33723
6.579	33725
6.589	33723
6.599	33725
6.609	33727
6.619	33723
6.629	33726
6.639	33726
6.649	33727
6.659	33725
6.669	33723
6.679	33725
6.689	33724
6.699	33724
6.709	33726
6.719	33725
6.729	33725
6.739	33726
6.749	33725
6.759	33728
6.769	33725
6.779	33725
6.789	33722
6.799	33726
6.809	33724
6.819	33727
6.829	33725
6.839	33726
6.849	33726
6.859	33725
6.869	33722
6.879	33727
6.889	33725
6.899	33725
6.909	33724
6.919	33724
6.929	33723
6.939	33726
6.949	33725
6.959	33725
6.969	33724
6.979	33724
6.989	33724
6.999	33725
7.009	33725
7.019	33723
7.029	33722
7.039	33727
7.049	33728
7.059	33725
7.069	33726
7.079	33725
7.089	33723
7.099	33725
7.109	33723
7.119	33723
7.129	33724
7.139	33724
7.149	33724
7.159	33725
7.169	33722
7.179	33726
7.189	33723
7.199	33725
7.209	33724
7.219	33724
7.229	33724
7.239	33726
7.249	33722
7.259	33725
7.269	33723
7.279	33724
7.289	33724
7.299	33727
7.309	33726
7.319	33727
7.329	33727
7.339	33725
7.349	33723
7.359	33723
7.369	33724
7.379	33723
7.389	33724
7.399	33726
7.409	33724
7.419	33725
7.429	33725
7.439	33727
7.449	33725
7.459	33723
7.469	33724
7.479	33725
7.489	33725
7.499	33726
7.509	33726
7.519	33727
7.529	33725
7.539	33724
7.549	33726
7.559	33728
7.569	33724
7.579	33724
7.589	33727
7.599	33726
7.609	33722
7.619	33728
7.629	33723
7.639	33724
7.649	33727
7.659	33725
7.670	33723
7.679	33726
7.689	33724
7.699	33725
7.709	33726
7.719	33725
7.729	33721
7.739	33725
7.749	33723
7.759	33724
7.769	33722
7.779	33724
7.789	33724
7.799	33724
7.809	33724
7.819	33726
7.829	33725
7.839	33723
7.849	33723
7.859	33727
7.869	33726
7.879	33726
7.889	33726
7.899	33725
7.909	33725
7.919	33725
7.929	33725
7.939	33725
7.949	33724
7.959	33725
7.969	33725
7.979	33727
7.989	33724
7.999	33724
8.009	33725
8.019	33725
8.029	33720
8.039	33724
8.049	33722
8.059	33723
8.069	33726
8.079	33725
8.089	33725
8.099	33725
8.109	33723
8.119	33723
8.129	33723
8.139	33722
8.149	33723
8.159	33725
8.169	33724
8.179	33727
8.190	33723
8.199	33725
8.209	33722
8.219	33723
8.229	33721
8.239	33725
8.249	33725
8.259	33727
8.269	33723
8.279	33727
8.289	33724
8.299	33725
8.309	33724
8.319	33724
8.329	33726
8.339	33725
8.349	33725
8.359	33727
8.369	33728
8.379	33728
8.389	33722
8.399	33725
8.409	33722
8.419	33723
8.429	33722
8.439	33726
8.449	33725
8.459	33727
8.469	33723
8.479	33727
8.489	33723
8.499	33726
8.509	33723
8.519	33727
8.529	33722
8.539	33727
8.549	33725
8.559	33722
8.569	33722
8.579	33725
8.589	33725
8.599	33725
8.609	33727
8.619	33726
8.629	33726
8.639	33726
8.649	33724
8.659	33723
8.669	33728
8.679	33728
8.689	33725
8.699	33726
8.709	33721
8.719	33725
8.729	33725
8.739	33724
8.749	33723
8.759	33725
8.769	33724
8.779	33730
8.789	33725
8.799	33723
8.809	33726
8.819	33724
8.829	33723
8.839	33723
8.849	33724
8.859	33724
8.869	33724
8.879	33726
8.889	33726
8.899	33724
8.909	33721
8.919	33724
8.929	33722
8.939	33724
8.949	33724
8.959	33723
8.969	33723
8.979	33727
8.989	33725
8.999	33726
9.009	33726
9.019	33725
9.029	33723
9.039	33725
9.049	33723
9.059	33724
9.069	33721
9.079	33725
9.089	33722
9.099	33724
9.109	33727
9.119	33726
9.129	33725
9.139	33725
9.149	33722
9.159	33726
9.169	33724
9.179	33725
9.189	33722
9.199	33727
9.209	33724
9.219	33727
9.229	33726
9.239	33725
9.249	33723
9.259	33723
9.269	33724
9.279	33727
9.289	33724
9.299	33727
9.309	33724
9.319	33727
9.329	33724
9.339	33728
9.349	33726
9.359	33724
9.369	33724
9.379	33726
9.389	33722
9.399	33723
9.409	33724
9.419	33722
9.429	33722
9.439	33724
9.449	33723
9.459	33727
9.469	33723
9.479	33727
9.489	33723
9.499	33726
9.509	33721
9.519	33724
9.529	33723
9.539	33725
9.549	33726
9.559	33727
9.569	33722
9.579	33726
9.589	33725
9.599	33725
9.609	33721
9.619	33725
9.629	33724
9.639	33725
9.649	33725
9.659	33724
9.669	33722
9.679	33726
9.689	33724
9.699	33725
9.709	33721
9.719	33725
9.729	33724
9.739	33724
9.749	33724
9.759	33728
9.769	33721
9.779	33727
9.789	33719
9.799	33724
9.809	33722
9.819	33727
9.829	33723
9.839	33724
9.849	33723
9.859	33724
9.869	33724
9.879	33724
9.889	33722
9.899	33724
9.909	33724
9.919	33727
9.929	33725
9.939	33725
9.949	33724
9.959	33725
9.969	33724
9.979	33725
9.989	33725
9.999	33727
10.009	33725
10.019	33727
10.029	33724
10.039	33726
10.049	33723
10.059	33726
10.069	33722
10.079	33725
10.089	33727
10.099	33727
10.109	33724
10.119	33728
10.129	33721
10.139	33725
10.149	33722
10.159	33725
10.169	33724
10.179	33726
10.189	33725
10.199	33725
10.209	33723
10.219	33725
10.229	33724
10.239	33725
10.249	33724
10.259	33724
10.269	33721
10.279	33728
10.289	33726
10.299	33727
10.309	33723
10.319	33725
10.329	33725
10.339	33725
10.349	33723
10.359	33727
10.369	33722
10.379	33726
10.389	33724
10.399	33725
10.409	33724
10.419	33725
10.429	33721
10.439	33724
10.449	33723
10.459	33726
10.469	33722
10.479	33728
10.489	33724
10.499	33726
10.509	33725
10.519	33726
10.529	33721
10.539	33722
10.549	33723
10.559	33722
10.569	33724
10.579	33729
10.589	33724
10.599	33725
10.609	33725
10.619	33724
10.629	33723
10.639	33723
10.649	33722
10.659	33729
10.669	33727
10.679	33728
10.689	33724
10.699	33724
10.709	33724
10.719	33725
10.729	33725
10.739	33725
10.749	33725
10.759	33726
10.769	33726
10.779	33727
10.789	33724
10.799	33725
10.809	33723
10.819	33727
10.829	33724
10.839	33727
10.849	33723
10.859	33725
10.869	33722
10.879	33727
10.889	33724
10.899	33726
10.909	33723
10.919	33727
10.929	33724
10.939	33724
10.949	33725
10.959	33726
10.969	33724
10.979	33728
10.989	33726
10.999	33726
11.009	33723
11.019	33725
11.029	33722
11.039	33724
11.049	33723
11.059	33726
11.069	33726
11.079	33728
11.089	33724
11.099	33726
11.109	33722
11.119	33727
11.129	33721
11.139	33725
11.149	33722
11.159	33728
11.169	33722
11.179	33727
11.189	33725
11.199	33724
11.209	33720
11.219	33728
11.229	33721
11.239	33723
11.249	33722
11.259	33724
11.269	33725
11.279	33726
11.289	33725
11.299	33725
11.309	33722
11.319	33721
11.329	33724
11.339	33723
11.349	33723
11.359	33726
11.369	33723
11.379	33728
11.389	33726
11.399	33727
11.409	33722
11.419	33727
11.429	33721
11.439	33725
11.449	33722
11.459	33725
11.469	33722
11.479	33726
11.489	33724
11.499	33724
11.509	33721
11.519	33728
11.529	33722
11.539	33724
11.549	33720
11.559	33723
11.569	33722
11.579	33727
11.589	33724
11.599	33728
11.609	33725
11.619	33725
11.629	33724
11.639	33724
11.649	33722
11.659	33727
11.669	33726
11.679	33724
11.689	33725
11.699	33726
11.709	33723
11.719	33726
11.729	33723
11.739	33724
11.749	33723
11.759	33725
11.769	33723
11.779	33727
11.789	33726
11.799	33725
11.809	33725
11.819	33726
11.829	33724
11.839	33724
11.849	33721
11.859	33725
11.869	33724
11.879	33727
11.889	33722
11.899	33727
11.909	33726
11.919	33725
11.929	33724
11.939	33727
11.949	33723
11.959	33727
11.969	33725
11.979	33729
11.989	33727
11.999	33728
12.009	33724
12.019	33728
12.029	33722
12.039	33727
12.049	33724
12.059	33725
12.069	33721
12.079	33728
12.089	33727
12.099	33726
12.109	33723
12.119	33728
12.129	33723
12.139	33727
12.149	33724
12.159	33726
12.169	33723
12.179	33727
12.189	33725
12.199	33728
12.209	33724
12.219	33725
12.229	33723
12.239	33724
12.249	33724
12.259	33725
12.269	33722
12.279	33726
12.289	33726
12.299	33726
12.309	33725
12.319	33725
12.329	33723
12.339	33726
12.349	33724
12.359	33729
12.369	33724
12.379	33725
12.389	33725
12.399	33728
12.409	33723
12.419	33727
12.429	33724
12.439	33726
12.449	33725
12.459	33728
12.469	33722
12.479	33725
12.489	33725
12.499	33726
12.509	33724
12.519	33728
12.529	33725
12.539	33727
12.549	33723
12.559	33725
12.569	33725
12.579	33724
12.589	33724
12.599	33728
12.609	33723
12.619	33726
12.629	33727
12.639	33725
12.649	33727
12.659	33725
12.669	33725
12.679	33723
12.689	33725
12.699	33725
12.709	33723
12.719	33728
12.729	33725
12.739	33728
12.749	33725
12.759	33727
12.769	33722
12.779	33724
12.789	33723
12.799	33725
12.809	33724
12.819	33728
12.829	33724
12.839	33728
12.849	33725
12.859	33728
12.869	33723
12.879	33723
