# Oscilloscope Data

# Seconds	force_sensor_L.force_kg
0.000	61.087
0.010	61.087
0.020	61.087
0.030	61.087
0.040	61.087
0.050	61.087
0.060	61.087
0.070	61.087
0.080	61.087
0.090	61.087
0.100	61.087
0.110	61.087
0.120	61.087
0.130	61.087
0.140	61.087
0.150	61.087
0.160	61.087
0.170	61.087
0.180	61.087
0.190	61.087
0.200	61.087
0.210	61.087
0.220	61.087
0.230	61.087
0.240	61.087
0.250	61.087
0.260	61.087
0.272	61.087
0.280	61.087
0.290	61.087
0.300	61.087
0.310	61.087
0.320	61.087
0.330	61.087
0.340	61.087
0.350	61.087
0.360	61.087
0.370	61.087
0.380	61.087
0.390	61.087
0.400	61.087
0.410	61.087
0.420	61.087
0.430	61.087
0.440	61.087
0.450	61.087
0.460	61.087
0.470	61.087
0.480	61.087
0.490	61.087
0.500	61.087
0.510	61.087
0.520	61.087
0.530	61.087
0.540	61.087
0.550	61.087
0.560	61.087
0.570	61.087
0.580	61.087
0.590	61.087
0.600	61.087
0.610	61.087
0.620	61.087
0.630	61.087
0.640	61.087
0.650	61.087
0.660	61.087
0.670	61.087
0.680	61.087
0.690	61.087
0.700	61.087
0.710	61.087
0.720	61.087
0.730	61.087
0.740	61.087
0.750	61.087
0.760	61.087
0.770	61.087
0.780	61.087
0.790	61.087
0.800	61.087
0.810	61.087
0.820	61.087
0.830	61.087
0.840	61.087
0.850	61.087
0.860	61.087
0.870	61.087
0.880	61.087
0.890	61.087
0.900	61.087
0.910	61.087
0.920	61.087
0.930	61.087
0.940	61.087
0.950	61.087
0.960	61.087
0.970	61.087
0.980	61.087
0.990	61.087
1.000	61.087
1.010	61.087
1.020	61.087
1.030	61.087
1.040	61.087
1.050	61.087
1.060	61.087
1.070	61.087
1.080	61.087
1.090	61.087
1.100	61.087
1.110	61.087
1.120	61.087
1.130	61.087
1.140	61.087
1.150	61.087
1.160	61.087
1.170	61.087
1.180	61.087
1.190	61.087
1.200	61.087
1.210	61.087
1.220	61.087
1.230	61.087
1.240	61.087
1.250	61.087
1.260	61.087
1.270	61.087
1.280	61.087
1.290	61.087
1.300	61.087
1.310	61.087
1.320	61.087
1.330	61.087
1.340	61.087
1.350	61.087
1.360	61.087
1.370	61.087
1.380	61.087
1.390	61.087
1.400	61.087
1.410	61.087
1.420	61.087
1.430	61.087
1.440	61.087
1.450	61.087
1.460	61.087
1.470	61.087
1.480	61.087
1.490	61.087
1.500	61.087
1.510	61.087
1.520	61.087
1.530	61.087
1.540	61.087
1.550	61.087
1.560	61.087
1.570	61.087
1.580	61.087
1.590	61.087
1.600	61.087
1.610	61.087
1.620	61.087
1.630	61.087
1.640	61.087
1.650	61.087
1.660	61.087
1.670	61.087
1.680	61.087
1.690	61.087
1.700	61.087
1.710	61.087
1.720	61.087
1.730	61.087
1.740	61.087
1.750	61.087
1.760	61.087
1.770	61.087
1.780	61.087
1.790	61.087
1.800	61.087
1.810	61.087
1.820	61.087
1.830	61.087
1.840	61.087
1.850	61.087
1.860	61.087
1.870	61.087
1.880	61.087
1.890	61.087
1.900	61.087
1.910	61.087
1.920	61.087
1.930	61.087
1.940	61.087
1.950	61.087
1.960	61.087
1.970	61.087
1.980	61.087
1.990	61.087
2.000	61.087
2.010	61.087
2.020	61.087
2.030	61.087
2.040	61.087
2.050	61.087
2.060	61.087
2.070	61.087
2.080	61.087
2.090	61.087
2.100	61.087
2.110	61.087
2.120	61.087
2.130	61.087
2.140	61.087
2.150	61.087
2.160	61.087
2.170	61.087
2.180	61.087
2.190	61.087
2.200	61.087
2.210	61.087
2.220	61.087
2.230	61.087
2.240	61.087
2.250	61.087
2.260	61.087
2.270	61.087
2.280	61.087
2.290	61.087
2.300	61.087
2.310	61.087
2.320	61.087
2.330	61.087
2.340	61.087
2.350	61.087
2.360	61.087
2.370	61.087
2.380	61.087
2.390	61.087
2.400	61.087
2.410	61.087
2.420	61.087
2.430	61.087
2.440	61.087
2.450	61.087
2.460	61.087
2.470	61.087
2.480	61.087
2.490	61.087
2.500	61.087
2.510	61.087
2.520	61.087
2.530	61.087
2.540	61.087
2.550	61.087
2.560	61.087
2.570	61.087
2.580	61.087
2.590	61.087
2.600	61.087
2.610	61.087
2.620	61.087
2.630	61.087
2.640	61.087
2.650	61.087
2.660	61.087
2.670	61.087
2.680	61.087
2.690	61.087
2.700	61.087
2.710	61.087
2.720	61.087
2.730	61.087
2.740	61.087
2.750	61.087
2.760	61.087
2.770	61.087
2.780	61.087
2.790	61.087
2.800	61.087
2.810	61.087
2.820	61.087
2.830	61.087
2.840	61.087
2.850	61.087
2.860	61.087
2.870	61.087
2.880	61.087
2.890	61.087
2.903	61.087
2.910	61.087
2.920	61.087
2.930	61.087
2.940	61.087
2.950	61.087
2.960	61.087
2.970	61.087
2.980	61.087
2.990	61.087
3.000	61.087
3.010	61.087
3.020	61.087
3.030	61.087
3.040	61.087
3.050	61.087
3.060	61.087
3.070	61.087
3.080	61.087
3.090	61.087
3.100	61.087
3.110	61.087
3.120	61.087
3.130	61.087
3.140	61.087
3.150	61.087
3.160	61.087
3.170	61.087
3.180	61.087
3.190	61.087
3.200	61.087
3.210	61.087
3.220	61.087
3.230	61.087
3.240	61.087
3.250	61.087
3.260	61.087
3.270	61.087
3.280	61.087
3.290	61.087
3.300	61.087
3.310	61.087
3.320	61.087
3.330	61.087
3.340	61.087
3.350	61.087
3.360	61.087
3.370	61.087
3.380	61.087
3.390	61.087
3.400	61.087
3.410	61.087
3.420	61.087
3.430	61.087
3.440	61.087
3.450	61.087
3.460	61.087
3.470	61.087
3.480	61.087
3.490	61.087
3.500	61.087
3.510	61.087
3.520	61.087
3.530	61.087
3.540	61.087
3.550	61.087
3.560	61.087
3.570	61.087
3.580	61.087
3.590	61.087
3.600	61.087
3.610	61.087
3.620	61.087
3.630	61.087
3.640	61.087
3.650	61.087
3.660	61.087
3.670	61.087
3.680	61.087
3.690	61.087
3.700	61.087
3.710	61.087
3.720	61.087
3.730	61.087
3.740	61.087
3.750	61.087
3.760	61.087
3.770	61.087
3.780	61.087
3.790	61.087
3.800	61.087
3.810	61.087
3.820	61.087
3.830	61.087
3.840	61.087
3.850	61.087
3.860	61.087
3.870	61.087
3.880	61.087
3.890	61.087
3.900	61.087
3.910	61.087
3.920	61.087
3.930	61.087
3.940	61.087
3.950	61.087
3.960	61.087
3.970	61.087
3.982	61.087
3.990	61.087
4.000	61.087
4.010	61.087
4.020	61.087
4.030	61.087
4.040	61.087
4.050	61.087
4.060	61.087
4.070	61.087
4.080	61.087
4.090	61.087
4.100	61.087
4.110	61.087
4.120	61.087
4.130	61.087
4.140	61.087
4.150	61.087
4.160	61.087
4.170	61.087
4.180	61.087
4.190	61.087
4.200	61.087
4.210	61.087
4.220	61.087
4.230	61.087
4.240	61.087
4.250	61.087
4.260	61.087
4.270	61.087
4.280	61.087
4.290	61.087
4.300	61.087
4.310	61.087
4.320	61.087
4.330	61.087
4.340	61.087
4.350	61.087
4.360	61.087
4.370	61.087
4.380	61.087
4.390	61.087
4.400	61.087
4.410	61.087
4.420	61.087
4.430	61.087
4.440	61.087
4.450	61.087
4.460	61.087
4.470	61.087
4.480	61.087
4.490	61.087
4.500	61.087
4.510	61.087
4.520	61.087
4.530	61.087
4.540	61.087
4.550	61.087
4.560	61.087
4.570	61.087
4.580	61.087
4.590	61.087
4.600	61.087
4.610	61.087
4.620	61.087
4.630	61.087
4.640	61.087
4.650	61.087
4.660	61.087
4.670	61.087
4.680	61.087
4.690	61.087
4.700	61.087
4.710	61.087
4.720	61.087
4.730	61.087
4.740	61.087
4.750	61.087
4.760	61.087
4.770	61.087
4.780	61.087
4.790	61.087
4.800	61.087
4.810	61.087
4.820	61.087
4.830	61.087
4.840	61.087
4.850	61.087
4.860	61.087
4.870	61.087
4.880	61.087
4.890	61.087
4.900	61.087
4.910	61.087
4.920	61.087
4.930	61.087
4.940	61.087
4.950	61.087
4.960	61.087
4.970	61.087
4.980	61.087
4.990	61.087
5.000	61.087
5.010	61.087
5.020	61.087
5.030	61.087
5.040	61.087
5.050	61.087
5.060	61.087
5.070	61.087
5.080	61.087
5.090	61.087
5.100	61.087
5.110	61.087
5.120	61.087
5.130	61.087
5.140	61.087
5.150	61.087
5.160	61.087
5.170	61.087
5.180	61.087
5.190	61.087
5.200	61.087
5.210	61.087
5.220	61.087
