# Oscilloscope Data

# Seconds	force_sensor_L.force_kg
0.000	61.087
0.009	61.087
0.019	61.087
0.029	61.087
0.039	61.087
0.049	61.087
0.059	61.087
0.069	61.087
0.079	61.087
0.089	61.087
0.099	61.087
0.109	61.087
0.119	61.087
0.129	61.087
0.139	61.087
0.149	61.087
0.159	61.087
0.169	61.087
0.179	61.087
0.189	61.087
0.199	61.087
0.209	61.087
0.219	61.087
0.229	61.087
0.239	61.087
0.249	61.087
0.259	61.087
0.269	61.087
0.279	61.087
0.289	61.087
0.299	61.087
0.309	61.087
0.319	61.087
0.329	61.087
0.339	61.087
0.349	61.087
0.359	61.087
0.369	61.087
0.379	61.087
0.389	61.087
0.399	61.087
0.409	61.087
0.419	61.087
0.429	61.087
0.439	61.087
0.449	61.087
0.459	61.087
0.469	61.087
0.479	61.087
0.489	61.087
0.499	61.087
0.509	61.087
0.519	61.087
0.529	61.087
0.539	61.087
0.549	61.087
0.559	61.087
0.569	61.087
0.579	61.087
0.589	61.087
0.599	61.087
0.609	61.087
0.619	61.087
0.629	61.087
0.639	61.087
0.649	61.087
0.659	61.087
0.669	61.087
0.679	61.087
0.689	61.087
0.699	61.087
0.709	61.087
0.719	61.087
0.729	61.087
0.739	61.087
0.749	61.087
0.759	61.087
0.769	61.087
0.779	61.087
0.789	61.087
0.799	61.087
0.809	61.087
0.819	61.087
0.829	61.087
0.839	61.087
0.849	61.087
0.859	61.087
0.869	61.087
0.879	61.087
0.889	61.087
0.899	61.087
0.909	61.087
0.919	61.087
0.929	61.087
0.939	61.087
0.949	61.087
0.959	61.087
0.969	61.087
0.979	61.087
0.989	61.087
0.999	61.087
1.009	61.087
1.019	61.087
1.029	61.087
1.039	61.087
1.049	61.087
1.059	61.087
1.069	61.087
1.079	61.087
1.089	61.087
1.102	61.087
1.109	61.087
1.119	61.087
1.129	61.087
1.139	61.087
1.149	61.087
1.159	61.087
1.169	61.087
1.179	61.087
1.189	61.087
1.199	61.087
1.209	61.087
1.219	61.087
1.229	61.087
1.239	61.087
1.249	61.087
1.259	61.087
1.269	61.087
1.279	61.087
1.289	61.087
1.299	61.087
1.309	61.087
1.319	61.087
1.329	61.087
1.339	61.087
1.349	61.087
1.359	61.087
1.369	61.087
1.379	61.087
1.389	61.087
1.399	61.087
1.409	61.087
1.419	61.087
1.429	61.087
1.439	61.087
1.449	61.087
1.459	61.087
1.469	61.087
1.479	61.087
1.489	61.087
1.499	61.087
1.509	61.087
1.519	61.087
1.529	61.087
1.539	61.087
1.549	61.087
1.559	61.087
1.569	61.087
1.579	61.087
1.589	61.087
1.599	61.087
1.609	61.087
1.619	61.087
1.629	61.087
1.639	61.087
1.649	61.087
1.659	61.087
1.669	61.087
1.679	61.087
1.689	61.087
1.699	61.087
1.709	61.087
1.719	61.087
1.729	61.087
1.739	61.087
1.752	61.087
1.759	61.087
1.769	61.087
1.779	61.087
1.789	61.087
1.799	61.087
1.809	61.087
1.819	61.087
1.829	61.087
1.839	61.087
1.849	61.087
1.859	61.087
1.869	61.087
1.879	61.087
1.889	61.087
1.899	61.087
1.909	61.087
1.919	61.087
1.929	61.087
1.939	61.087
1.949	61.087
1.959	61.087
1.969	61.087
1.979	61.087
1.989	61.087
1.999	61.087
2.009	61.087
2.019	61.087
2.029	61.087
2.039	61.087
2.049	61.087
2.059	61.087
2.069	61.087
2.079	61.087
2.089	61.087
2.099	61.087
2.109	61.087
2.119	61.087
2.129	61.087
2.139	61.087
2.149	61.087
2.159	61.087
2.169	61.087
2.179	61.087
2.189	61.087
2.199	61.087
2.209	61.087
2.219	61.087
2.229	61.087
2.239	61.087
2.249	61.087
2.259	61.087
2.269	61.087
2.279	61.087
2.289	61.087
2.299	61.087
2.309	61.087
2.319	61.087
2.329	61.087
2.339	61.087
2.349	61.087
2.359	61.087
2.369	61.087
2.379	61.087
2.389	61.087
2.399	61.087
2.409	61.087
2.419	61.087
2.429	61.087
2.439	61.087
2.449	61.087
2.459	61.087
2.469	61.087
2.479	61.087
2.489	61.087
2.499	61.087
2.509	61.087
2.519	61.087
2.529	61.087
2.539	61.087
2.549	61.087
2.559	61.087
2.569	61.087
2.579	61.087
2.589	61.087
2.599	61.087
2.609	61.087
2.619	61.087
2.629	61.087
2.639	61.087
2.649	61.087
2.659	61.087
2.669	61.087
2.679	61.087
2.689	61.087
2.699	61.087
