# Oscilloscope Data

# Seconds	force_sensor_L.force_kg
2.640	2.30584e+18
2.650	2.30584e+18
2.660	2.30584e+18
2.670	2.30584e+18
2.680	2.30584e+18
2.690	2.30584e+18
2.700	2.30584e+18
2.710	2.30584e+18
2.720	2.30584e+18
2.730	2.30584e+18
2.740	2.30584e+18
2.750	2.30584e+18
2.760	2.30584e+18
2.770	2.30584e+18
2.780	2.30584e+18
2.790	2.30584e+18
2.800	2.30584e+18
2.810	2.30584e+18
2.820	2.30584e+18
2.830	2.30584e+18
2.840	2.30584e+18
2.850	2.30584e+18
2.860	2.30584e+18
2.870	2.30584e+18
2.880	2.30584e+18
2.890	2.30584e+18
2.900	2.30584e+18
2.910	2.30584e+18
2.920	2.30584e+18
2.930	2.30584e+18
2.940	2.30584e+18
2.950	2.30584e+18
2.960	2.30584e+18
2.970	2.30584e+18
2.980	2.30584e+18
2.990	2.30584e+18
3.000	2.30584e+18
3.010	2.30584e+18
3.020	2.30584e+18
3.030	2.30584e+18
3.040	2.30584e+18
3.050	2.30584e+18
3.060	2.30584e+18
3.070	2.30584e+18
3.080	2.30584e+18
3.090	2.30584e+18
3.100	2.30584e+18
3.110	2.30584e+18
3.120	2.30584e+18
3.130	2.30584e+18
3.140	2.30584e+18
3.150	2.30584e+18
3.160	2.30584e+18
3.170	2.30584e+18
3.180	2.30584e+18
3.190	2.30584e+18
3.200	2.30584e+18
3.210	2.30584e+18
3.220	2.30584e+18
3.230	2.30584e+18
3.240	2.30584e+18
3.250	2.30584e+18
3.260	2.30584e+18
3.270	2.30584e+18
3.280	2.30584e+18
3.290	2.30584e+18
3.300	2.30584e+18
3.310	2.30584e+18
3.320	2.30584e+18
3.330	2.30584e+18
3.340	2.30584e+18
3.350	2.30584e+18
3.360	2.30584e+18
3.370	2.30584e+18
3.380	2.30584e+18
3.390	2.30584e+18
3.400	2.30584e+18
3.410	2.30584e+18
3.420	2.30584e+18
3.430	2.30584e+18
3.440	2.30584e+18
3.450	2.30584e+18
3.460	2.30584e+18
3.470	2.30584e+18
3.480	2.30584e+18
3.490	2.30584e+18
3.500	2.30584e+18
3.510	2.30584e+18
3.520	2.30584e+18
3.530	2.30584e+18
3.540	2.30584e+18
3.550	2.30584e+18
3.560	2.30584e+18
3.570	2.30584e+18
3.580	2.30584e+18
3.590	2.30584e+18
3.600	2.30584e+18
3.610	2.30584e+18
3.620	2.30584e+18
3.630	2.30584e+18
3.640	2.30584e+18
3.650	2.30584e+18
3.660	2.30584e+18
3.670	2.30584e+18
3.680	2.30584e+18
3.690	2.30584e+18
3.700	2.30584e+18
3.710	2.30584e+18
3.720	2.30584e+18
3.730	2.30584e+18
3.740	2.30584e+18
3.750	2.30584e+18
3.760	2.30584e+18
3.770	2.30584e+18
3.780	2.30584e+18
3.790	2.30584e+18
3.800	2.30584e+18
3.810	2.30584e+18
3.820	2.30584e+18
3.830	2.30584e+18
3.840	2.30584e+18
3.850	2.30584e+18
3.860	2.30584e+18
3.870	2.30584e+18
3.880	2.30584e+18
3.890	2.30584e+18
3.900	2.30584e+18
3.910	2.30584e+18
3.920	2.30584e+18
3.930	2.30584e+18
3.940	2.30584e+18
3.950	2.30584e+18
3.960	2.30584e+18
3.970	2.30584e+18
3.980	2.30584e+18
3.990	2.30584e+18
4.000	2.30584e+18
4.010	2.30584e+18
4.020	2.30584e+18
4.030	2.30584e+18
4.040	2.30584e+18
4.050	2.30584e+18
4.060	2.30584e+18
4.070	2.30584e+18
4.080	2.30584e+18
4.090	2.30584e+18
4.100	2.30584e+18
4.110	2.30584e+18
4.120	2.30584e+18
4.130	2.30584e+18
4.140	2.30584e+18
4.150	2.30584e+18
4.160	2.30584e+18
4.173	2.30584e+18
4.180	2.30584e+18
4.190	2.30584e+18
4.200	2.30584e+18
4.210	2.30584e+18
4.220	2.30584e+18
4.230	2.30584e+18
4.240	2.30584e+18
4.250	2.30584e+18
4.260	2.30584e+18
4.270	2.30584e+18
4.280	2.30584e+18
4.290	2.30584e+18
4.300	2.30584e+18
4.310	2.30584e+18
4.320	2.30584e+18
4.330	2.30584e+18
4.340	2.30584e+18
4.350	2.30584e+18
4.360	2.30584e+18
4.370	2.30584e+18
4.380	2.30584e+18
4.390	2.30584e+18
4.400	2.30584e+18
4.410	2.30584e+18
4.420	2.30584e+18
4.430	2.30584e+18
4.440	2.30584e+18
4.450	2.30584e+18
4.460	2.30584e+18
4.470	2.30584e+18
4.480	2.30584e+18
4.490	2.30584e+18
4.500	2.30584e+18
4.510	2.30584e+18
4.520	2.30584e+18
4.530	2.30584e+18
4.540	2.30584e+18
4.550	2.30584e+18
4.560	2.30584e+18
4.570	2.30584e+18
4.580	2.30584e+18
4.590	2.30584e+18
4.600	2.30584e+18
4.610	2.30584e+18
4.620	2.30584e+18
4.630	2.30584e+18
4.640	2.30584e+18
4.650	2.30584e+18
4.660	2.30584e+18
4.670	2.30584e+18
4.680	2.30584e+18
4.690	2.30584e+18
4.700	2.30584e+18
4.710	2.30584e+18
4.720	2.30584e+18
4.730	2.30584e+18
4.740	2.30584e+18
4.750	2.30584e+18
4.760	2.30584e+18
